HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
GET,api/clinic/partners,PartnersController.cs,List,wired,GET,/api/clinic/partners,Frontend/actions/partner/workflow.ts:69,matched method and normalized route in actions
POST,api/clinic/partners,PartnersController.cs,Create,wired,POST,/api/clinic/partners,Frontend/actions/partner/workflow.ts:77,matched method and normalized route in actions
PUT,api/clinic/partners/{partnerId:guid},PartnersController.cs,Update,wired,PUT,/api/clinic/partners/${partnerId},Frontend/actions/partner/workflow.ts:95,matched method and normalized route in actions
POST,api/clinic/partners/{partnerId:guid}/activation,PartnersController.cs,SetActivation,wired,POST,/api/clinic/partners/${partnerId}/activation,Frontend/actions/partner/workflow.ts:113,matched method and normalized route in actions
POST,api/clinic/partners/{partnerId:guid}/users,PartnersController.cs,CreatePartnerUser,wired,POST,/api/clinic/partners/${partnerId}/users,Frontend/actions/partner/workflow.ts:331,matched method and normalized route in actions
GET,api/clinic/partners/contracts,PartnersController.cs,ListContracts,wired,GET,/api/clinic/partners/contracts,Frontend/actions/partner/workflow.ts:136,matched method and normalized route in actions
POST,api/clinic/partners/contracts,PartnersController.cs,CreateContract,wired,POST,/api/clinic/partners/contracts,Frontend/actions/partner/workflow.ts:147,matched method and normalized route in actions
PUT,api/clinic/partners/contracts/{contractId:guid},PartnersController.cs,UpdateContract,wired,PUT,/api/clinic/partners/contracts/${contractId},Frontend/actions/partner/workflow.ts:165,matched method and normalized route in actions
GET,api/clinic/partners/services,PartnersController.cs,ListServices,wired,GET,/api/clinic/partners/services,Frontend/actions/partner/workflow.ts:287,matched method and normalized route in actions
POST,api/clinic/partners/services,PartnersController.cs,CreateService,wired,POST,/api/clinic/partners/services,Frontend/actions/partner/workflow.ts:301,matched method and normalized route in actions
PUT,api/clinic/partners/services/{itemId:guid},PartnersController.cs,UpdateService,wired,PUT,/api/clinic/partners/services/${itemId},Frontend/actions/partner/workflow.ts:313,matched method and normalized route in actions
GET,api/clinic/patient-app/profiles/{patientId:guid},PatientAppController.cs,GetProfile,wired,GET,/api/clinic/patient-app/profiles/${patientId},Frontend/actions/patient-app/profile.ts:18,matched method and normalized route in actions
GET,api/clinic/patient-app/profiles/{patientId:guid}/visits,PatientAppController.cs,GetVisits,wired,GET,/api/clinic/patient-app/profiles/${patientId}/visits?pageNumber=${pageNumber}&pageSize=${pageSize},Frontend/actions/patient-app/profile.ts:33,matched method and normalized route in actions
GET,api/clinic/patient-app/profiles/{patientId:guid}/summary,PatientAppController.cs,GetSummary,wired,GET,/api/clinic/patient-app/profiles/${patientId}/summary,Frontend/actions/patient-app/profile.ts:46,matched method and normalized route in actions
GET,api/clinic/patient-app/profiles/{patientId:guid}/queue-ticket,PatientAppController.cs,GetQueueTicket,wired,GET,/api/clinic/patient-app/profiles/${patientId}/queue-ticket,Frontend/actions/patient-app/profile.ts:56,matched method and normalized route in actions
GET,api/clinic/patient-app/profiles/{patientId:guid}/bookings,PatientAppController.cs,GetBookings,wired,GET,/api/clinic/patient-app/profiles/${patientId}/bookings,Frontend/actions/patient-app/profile.ts:69,matched method and normalized route in actions
GET,api/clinic/patient-app/profiles/{patientId:guid}/partner-orders,PatientAppController.cs,GetPartnerOrders,wired,GET,/api/clinic/patient-app/profiles/${patientId}/partner-orders,Frontend/actions/patient-app/profile.ts:79,matched method and normalized route in actions
GET,api/clinic/patient-credits/{patientId:guid}/balance,PatientCreditsController.cs,GetBalance,wired,GET,/api/clinic/patient-credits/${patientId}/balance,Frontend/actions/patient-app/profile.ts:92,matched method and normalized route in actions
GET,api/clinic/patient-credits/{patientId:guid}/history,PatientCreditsController.cs,GetHistory,wired,GET,/api/clinic/patient-credits/${patientId}/history?pageNumber=${pageNumber}&pageSize=${pageSize},Frontend/actions/patient-app/profile.ts:107,matched method and normalized route in actions
POST,api/clinic/patients/{patientId:guid}/medical-documents,PatientMedicalController.cs,UploadDocument,wired,POST,/api/clinic/patients/${patientId}/medical-documents,Frontend/actions/patient-medical/documents.ts:28,matched method and normalized route in actions
GET,api/clinic/patients/{patientId:guid}/medical-documents,PatientMedicalController.cs,ListDocuments,wired,GET,/api/clinic/patients/${patientId}/medical-documents,Frontend/actions/patient-medical/documents.ts:16,matched method and normalized route in actions
GET,api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid},PatientMedicalController.cs,DownloadDocument,wired,GET,/api/clinic/patients/${patientId}/medical-documents/${documentId},Frontend/actions/patient-medical/documents.ts:46,matched method and normalized route in actions
GET,api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads,PatientMedicalController.cs,ListDocumentThreads,wired,GET,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads,Frontend/actions/patient-medical/documents.ts:61,matched method and normalized route in actions
POST,api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads,PatientMedicalController.cs,CreateDocumentThread,wired,POST,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads,Frontend/actions/patient-medical/documents.ts:77,matched method and normalized route in actions
POST,api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads/{threadId:guid}/replies,PatientMedicalController.cs,AddThreadReply,wired,POST,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads/${threadId}/replies,Frontend/actions/patient-medical/documents.ts:100,matched method and normalized route in actions
POST,api/clinic/patients/{patientId:guid}/medical-documents/{documentId:guid}/threads/{threadId:guid}/close,PatientMedicalController.cs,CloseThread,wired,POST,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads/${threadId}/close,Frontend/actions/patient-medical/documents.ts:123,matched method and normalized route in actions
GET,api/clinic/patients/{patientId:guid}/chronic-conditions,PatientMedicalController.cs,GetChronicProfile,wired,GET,/api/clinic/patients/${patientId}/chronic-conditions,Frontend/actions/patient-medical/documents.ts:143,matched method and normalized route in actions
PUT,api/clinic/patients/{patientId:guid}/chronic-conditions,PatientMedicalController.cs,UpsertChronicProfile,wired,PUT,/api/clinic/patients/${patientId}/chronic-conditions,Frontend/actions/patient-medical/documents.ts:162,matched method and normalized route in actions
POST,api/clinic/patients,PatientsController.cs,CreatePatient,wired,POST,/api/clinic/patients/,Frontend/actions/patient-medical/documents.ts:28,matched method and normalized route in actions
GET,api/clinic/patients,PatientsController.cs,GetAllPatients,wired,GET,/api/clinic/patients/,Frontend/actions/patient-medical/documents.ts:16,matched method and normalized route in actions
GET,api/clinic/patients/{id:guid},PatientsController.cs,GetPatientById,wired,GET,/api/clinic/patients/${patientId},Frontend/actions/patient/get-patient-profile.ts:29,matched method and normalized route in actions
PUT,api/clinic/patients/{id:guid},PatientsController.cs,UpdatePatient,wired,PUT,/api/clinic/patients/${id},Frontend/actions/patient/update-patient.ts:18,matched method and normalized route in actions
PATCH,api/clinic/patients/{id:guid},PatientsController.cs,PatchPatient,wired,PATCH,/api/clinic/patients/${id},Frontend/actions/patient/update-patient.ts:39,matched method and normalized route in actions
POST,api/clinic/patients/{id:guid}/profiles,PatientsController.cs,AddSubProfile,wired,POST,/api/clinic/patients/${parentId}/profiles,Frontend/actions/patient/add-subprofile.ts:20,matched method and normalized route in actions
POST,api/clinic/patients/{id:guid}/reset-password,PatientsController.cs,ResetPassword,wired,POST,/api/clinic/patients/${id}/reset-password,Frontend/actions/patient/update-patient.ts:58,matched method and normalized route in actions
POST,api/clinic/patients/{id:guid}/send-credentials,PatientsController.cs,SendCredentials,wired,POST,/api/clinic/patients/${id}/send-credentials,Frontend/actions/patient/update-patient.ts:69,matched method and normalized route in actions
DELETE,api/clinic/patients/{id:guid},PatientsController.cs,DeletePatient,wired,DELETE,/api/clinic/patients/${id},Frontend/actions/patient/delete-patient.ts:11,matched method and normalized route in actions
POST,api/clinic/visits/{visitId:guid}/prescriptions,PrescriptionsController.cs,Create,wired,POST,/api/clinic/visits/${visitId}/prescriptions,Frontend/actions/prescription/create-prescription.ts:16,matched method and normalized route in actions
